Title,Price,Brand,Model,Year of Manufacture,Engine capacity,Mileage,Bike Type,Condition,Trim / Edition,Location,URL
TVS Ntorq 125 Brand New 2026,"Rs 99,700",TVS,Ntorq 125,2026,125 cc,0 km,Scooters,Brand New,Brand New,Homagama,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-572
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Nugegoda,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-518
Bajaj CT100 2021,"Rs 120,000",Bajaj,CT100,2021,100 cc,"26,455 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-ct100-2021-for-sale-kurunegala-11
Yamaha FZs V2 2017,"Rs 240,000",Yamaha,FZs V2,2017,150 cc,"35,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/yamaha-fzs-v2-2017-for-sale-kurunegala-11
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Boralesgamuwa,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-521
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Athurugiriya,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-520
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Dehiwala,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-519
Yamaha FZs V2 2019,"Rs 270,000",Yamaha,FZs V2,2019,150 cc,"32,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/yamaha-fzs-v2-2019-for-sale-kurunegala-34
TVS Ntorq 2019,"Rs 80,000",TVS,Ntorq,2019,125 cc,"65,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/tvs-ntorq-2019-for-sale-colombo-3157
TVS Ntorq 125 2025,"Rs 195,000",TVS,Ntorq 125,2025,125 cc,0 km,Scooters,Brand New,125,Homagama,https://ikman.lk/en/ad/tvs-ntorq-125-2025-for-sale-colombo-4000
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Moratuwa,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-517
TVS Scooty Pep+ 2018,"Rs 80,000",TVS,Scooty Pep+,2018,90 cc,"28,000 km",Scooters,Used,TVS,Piliyandala,https://ikman.lk/en/ad/tvs-scooty-pep-2018-for-sale-colombo-580
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Gonapola,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-215
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Kalutara City,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-214
Hero Passion Plus 2009,"Rs 130,000",Hero,Passion Plus,2009,125 cc,"32,488 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/hero-passion-plus-2009-for-sale-kurunegala-1
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Avissawella,https://ikman.lk/en/ad/tvs-sport-110-2025-for-sale-colombo-231
TVS Ntorq 2026,"Rs 195,000",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Tvs,Maharagama,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-387
KTM Duke 160 2026,"Rs 734,975",KTM,Duke,2026,160 cc,0 km,Motorbikes,Brand New,160,Kelaniya,https://ikman.lk/en/ad/ktm-duke-160-2026-for-sale-gampaha-6
Yamaha R15 2025,"Rs 499,470",Yamaha,R15,2025,155 cc,0 km,Motorbikes,Brand New,,Gampaha City,https://ikman.lk/en/ad/yamaha-r15-2025-for-sale-gampaha-4
Bajaj CT100 2020,"Rs 120,000",Bajaj,CT100,2020,100 cc,"26,888 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-ct100-2020-for-sale-kurunegala-220
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Meegoda,https://ikman.lk/en/ad/tvs-sport-110-2025-for-sale-colombo-232
Yamaha Ray ZR 125 2025,"Rs 250,470",Yamaha,Ray ZR,2025,125 cc,0 km,Scooters,Brand New,Ray ZR 125,Gampaha City,https://ikman.lk/en/ad/yamaha-ray-zr-125-2025-for-sale-gampaha-13
Yamaha RayZR 125 STREET RALLY 2025,"Rs 256,470",Yamaha,RayZR,2025,125 cc,0 km,Scooters,Brand New,125 STREET RALLY,Gampaha City,https://ikman.lk/en/ad/yamaha-rayzr-125-street-rally-2025-for-sale-gampaha
TVS Sport 110 2021,"Rs 185,000",TVS,Sport,2021,110 cc,0 km,Motorbikes,Brand New,Sport 110,Godagama,https://ikman.lk/en/ad/tvs-sport-110-2021-for-sale-colombo-5
Honda Grazia 2020,"Rs 200,000",Honda,Grazia,2020,125 cc,"29,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/honda-grazia-2020-for-sale-kurunegala-24
Bajaj Pulsar 135 2013,"Rs 320,000",Bajaj,Pulsar 135,2013,135 cc,"34,500 km",Motorbikes,Used,,Marawila,https://ikman.lk/en/ad/bajaj-pulsar-135-2013-for-sale-puttalam-96
TVS Ntorq 125 Brand New 2026,"Rs 99,700",TVS,Ntorq 125,2026,125 cc,0 km,Scooters,Brand New,Brand New,Maharagama,https://ikman.lk/en/ad/tvs-ntorq-125-brand-new-2026-for-sale-colombo-573
Hero XOOM 125R 2026,"Rs 417,950",Hero,XOOM 125R,2026,125 cc,0 km,Motorbikes,Brand New,2026,Colombo 3,https://ikman.lk/en/ad/hero-xoom-125r-2026-for-sale-colombo-45
Honda PCX 125 2025,"Rs 1,750,000",Honda,PCX 125,2025,125 cc,0 km,Scooters,Brand New,,Veyangoda,https://ikman.lk/en/ad/honda-pcx-2025-for-sale-gampaha-68
Honda Dio 2016,"Rs 85,000",Honda,Dio,2016,110 cc,"45,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/honda-dio-2016-for-sale-colombo-6281
Bajaj Pulsar N160 Premium 2026,"Rs 410,000",Bajaj,Pulsar N160,2026,160 cc,0 km,Motorbikes,Brand New,Premium,Kegalle City,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2026-for-sale-kegalle-117
Honda X-Blade 160 X Blade 2018,"Rs 675,000",Honda,X-Blade 160,2018,160 cc,"41,000 km",Motorbikes,Used,X Blade 160,Kiribathgoda,https://ikman.lk/en/ad/honda-x-blade-x-blade-160-2018-for-sale-gampaha
Demak Skyline 2017,"Rs 700,000",Demak,Skyline,2017,180 cc,"21,600 km",Motorbikes,Used,2017,Jaffna City,https://ikman.lk/en/ad/demak-skyline-100-condition-2017-for-sale-jaffna
Bajaj CT100 2026,"Rs 184,360",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,Bajaj,Wattala,https://ikman.lk/en/ad/bajaj-ct100-2026-for-sale-gampaha-341
TVS Streak 2009,"Rs 160,000",TVS,Streak,2009,90 cc,"10,000 km",Scooters,Used,Streak,Rattota,https://ikman.lk/en/ad/tvs-streak-schoty-2009-for-sale-matale
Bajaj Pulsar NS200 2025,"Rs 1,050,000",Bajaj,Pulsar NS200,2025,200 cc,"3,000 km",Motorbikes,Used,Ns200 2025,Mawanella,https://ikman.lk/en/ad/bajaj-pulsar-ns200-2025-for-sale-kegalle-92
Hero Pleasure 2019,"Rs 125,000",Hero,Pleasure,2019,100 cc,"35,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/hero-pleasure-2019-for-sale-colombo-209
Bajaj Pulsar N160 Premium 2026,"Rs 416,110",Bajaj,Pulsar N160,2026,160 cc,0 km,Motorbikes,Brand New,Premium,Colombo 15,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2026-for-sale-colombo-186
Honda 90 2006,"Rs 335,000",Honda,Other Model,2006,"9,000 cc","35,000 km",Motorbikes,Used,90,Piliyandala,https://ikman.lk/en/ad/honda-90-2006-for-sale-colombo
Hero Pleasure 2018,"Rs 420,000",Hero,Pleasure,2018,100 cc,"13,980 km",Scooters,Used,2018,Gampola,https://ikman.lk/en/ad/hero-pleasure-2018-10th-anniversar-for-sale-kandy
Hero Maestro Edge 2019,"Rs 95,000",Hero,Maestro Edge,2019,110 cc,"32,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/hero-maestro-edge-2019-for-sale-colombo-666
TVS Metro ES 2019,"Rs 325,000",TVS,Metro,2019,100 cc,"60,000 km",Motorbikes,Used,ES,Piliyandala,https://ikman.lk/en/ad/tvs-metro-es-2019-for-sale-colombo-3
Bajaj Discover 125 2013,"Rs 330,000",Bajaj,Discover 125,2013,125 cc,"67,000 km",Motorbikes,Used,,Galle City,https://ikman.lk/en/ad/bajaj-discover-125-2013-for-sale-galle-152
Bajaj Pulsar 150 2018,"Rs 610,000",Bajaj,Pulsar 150,2018,150 cc,"49,000 km",Motorbikes,Used,Bajaj,Piliyandala,https://ikman.lk/en/ad/bajaj-pulsar-150-pulser-2018-for-sale-colombo
Honda Dio 2017,"Rs 85,000",Honda,Dio,2017,110 cc,"65,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/honda-dio-2017-for-sale-colombo-7164
Honda Dio 2014,"Rs 85,000",Honda,Dio,2014,110 cc,"65,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/honda-dio-2014-for-sale-colombo-4944
Bajaj CT100 ES 2025,"Rs 258,975",Bajaj,CT100,2025,100 cc,0 km,Motorbikes,Brand New,ES,Piliyandala,https://ikman.lk/en/ad/bajaj-ct100-es-2025-for-sale-colombo-419
TVS Ntorq 125 2021,"Rs 195,000",TVS,Ntorq 125,2021,125 cc,0 km,Scooters,Brand New,ntorq 125,Pannipitiya,https://ikman.lk/en/ad/tvs-ntorq-125-2021-for-sale-colombo-25
Bajaj CT100 Brand New 2026,"Rs 174,000",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,Brand New,Puttalam City,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2026-for-sale-puttalam-5
Bajaj CT100 2006,"Rs 235,000",Bajaj,CT100,2006,100 cc,"146,000 km",Motorbikes,Used,,Wennappuwa,https://ikman.lk/en/ad/bajaj-ct100-2006-for-sale-puttalam-231
Bajaj CT100 Brand New 2026,"Rs 174,000",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,Brand New,Polonnaruwa City,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2026-for-sale-polonnaruwa-2
TVS Ntorq 2025,"Rs 649,000",TVS,Ntorq,2025,125 cc,"15,000 km",Scooters,Used,TVS,Chavakachcheri,https://ikman.lk/en/ad/tvs-ntorq-2025-for-sale-jaffna-13
Bajaj Pulsar N160 Premium 2026,"Rs 377,350",Bajaj,Pulsar N160,2026,160 cc,0 km,Motorbikes,Brand New,Premium,Kegalle City,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2026-for-sale-kegalle-80
Bajaj CT100 Brand New 2026,"Rs 174,000",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,Brand New,Gampaha City,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2026-for-sale-gampaha-230
Bajaj Platina 2016,"Rs 365,000",Bajaj,Platina,2016,100 cc,"42,160 km",Motorbikes,Used,2016,Piliyandala,https://ikman.lk/en/ad/bajaj-platina-100-es-2016-for-sale-colombo-59
KTM Duke 200 2018,"Rs 1,030,000",KTM,Duke 200,2018,200 cc,"47,000 km",Motorbikes,Used,200,Vavuniya City,https://ikman.lk/en/ad/ktm-duke-200-abishek-2018-for-sale-vavuniya
Honda Dio 2017,"Rs 538,000",Honda,Dio,2017,110 cc,"42,000 km",Scooters,Used,Honda Dio,Jaffna City,https://ikman.lk/en/ad/honda-dio-2017-for-sale-jaffna-154
Bajaj CT100 Brand New 2026,"Rs 174,000",Bajaj,CT100,2026,100 cc,0 km,Motorbikes,Brand New,Brand New,Anuradhapura City,https://ikman.lk/en/ad/bajaj-ct100-brand-new-2026-for-sale-anuradhapura-5
Yamaha RayZR 2025,"Rs 247,470",Yamaha,RayZR,2025,125 cc,0 km,Scooters,Brand New,Yamaha,Gampaha City,https://ikman.lk/en/ad/yamaha-rayzr-2025-for-sale-gampaha-5
Hero Pleasure 2013,"Rs 290,000",Hero,Pleasure,2013,100 cc,"80,000 km",Scooters,Used,,Gampaha City,https://ikman.lk/en/ad/hero-pleasure-2013-for-sale-gampaha-1621
TVS Scooty Pep+ 2018,"Rs 80,000",TVS,Scooty Pep+,2018,90 cc,"35,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/tvs-scooty-pep-2018-for-sale-colombo-581
Bajaj Discover 125 discovery 2023,"Rs 137,000",Bajaj,Discover 125,2023,125 cc,"25,142 km",Motorbikes,Used,discovery 125,Boralesgamuwa,https://ikman.lk/en/ad/bajaj-discover-125-discovery-2023-for-sale-colombo-8
Honda Dio 2018,"Rs 110,000",Honda,Dio,2018,110 cc,"28,000 km",Scooters,Used,Honda,Piliyandala,https://ikman.lk/en/ad/honda-dio-2018-for-sale-colombo-5786
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Talawatugoda,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-532
Bajaj Discover 2012,"Rs 285,000",Bajaj,Discover,2012,125 cc,"32,455 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-discover-2012-for-sale-kurunegala-511
Bajaj CT100 2017,"Rs 435,000",Bajaj,CT100,2017,100 cc,"42,000 km",Motorbikes,Used,2017,Gampaha City,https://ikman.lk/en/ad/bajaj-ct100-2017-good-condition-for-sale-gampaha
Bajaj CT100 2022,"Rs 101,000",Bajaj,CT100,2022,100 cc,"27,800 km",Motorbikes,Used,ct100,Boralesgamuwa,https://ikman.lk/en/ad/bajaj-ct100-2022-for-sale-colombo-258
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Kotte,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-530
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Ratmalana,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-529
Bajaj Pulsar 150 2018,"Rs 180,000",Bajaj,Pulsar 150,2018,150 cc,"32,455 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-pulsar-150-2018-for-sale-kurunegala-768
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Kesbewa,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-528
Bajaj Pulsar 150 2014,"Rs 540,000",Bajaj,Pulsar 150,2014,150 cc,"35,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-pulsar-150-2014-for-sale-kurunegala-770
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Godagama,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-527
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Colombo 6,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-526
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Colombo 15,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-523
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Colombo 11,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-522
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Nugegoda,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-518
Bajaj CT100 2021,"Rs 120,000",Bajaj,CT100,2021,100 cc,"26,455 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-ct100-2021-for-sale-kurunegala-11
TVS Raider 125 2026,"Rs 156,990",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Athurugiriya,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-350
Yamaha FZs V2 2017,"Rs 240,000",Yamaha,FZs V2,2017,150 cc,"35,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/yamaha-fzs-v2-2017-for-sale-kurunegala-11
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Boralesgamuwa,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-521
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Athurugiriya,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-520
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Dehiwala,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-519
Yamaha FZs V2 2019,"Rs 270,000",Yamaha,FZs V2,2019,150 cc,"32,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/yamaha-fzs-v2-2019-for-sale-kurunegala-34
TVS Ntorq 2019,"Rs 80,000",TVS,Ntorq,2019,125 cc,"65,000 km",Scooters,Used,,Piliyandala,https://ikman.lk/en/ad/tvs-ntorq-2019-for-sale-colombo-3157
TVS Ntorq 125 2025,"Rs 195,000",TVS,Ntorq 125,2025,125 cc,0 km,Scooters,Brand New,125,Homagama,https://ikman.lk/en/ad/tvs-ntorq-125-2025-for-sale-colombo-4000
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Moratuwa,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-517
TVS Scooty Pep+ 2018,"Rs 80,000",TVS,Scooty Pep+,2018,90 cc,"28,000 km",Scooters,Used,TVS,Piliyandala,https://ikman.lk/en/ad/tvs-scooty-pep-2018-for-sale-colombo-580
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Gonapola,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-215
TVS Raider 125 2026,"Rs 156,000",TVS,Raider 125,2026,125 cc,0 km,Motorbikes,Brand New,Raider,Kalutara City,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-kalutara-214
Hero Passion Plus 2009,"Rs 130,000",Hero,Passion Plus,2009,125 cc,"32,488 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/hero-passion-plus-2009-for-sale-kurunegala-1
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Avissawella,https://ikman.lk/en/ad/tvs-sport-110-2025-for-sale-colombo-231
TVS Ntorq 2026,"Rs 195,000",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Tvs,Maharagama,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-387
KTM Duke 160 2026,"Rs 734,975",KTM,Duke,2026,160 cc,0 km,Motorbikes,Brand New,160,Kelaniya,https://ikman.lk/en/ad/ktm-duke-160-2026-for-sale-gampaha-6
Yamaha R15 2025,"Rs 499,470",Yamaha,R15,2025,155 cc,0 km,Motorbikes,Brand New,,Gampaha City,https://ikman.lk/en/ad/yamaha-r15-2025-for-sale-gampaha-4
Bajaj CT100 2020,"Rs 120,000",Bajaj,CT100,2020,100 cc,"26,888 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/bajaj-ct100-2020-for-sale-kurunegala-220
TVS Sport 110 2025,"Rs 185,000",TVS,Sport,2025,110 cc,0 km,Motorbikes,Brand New,110,Meegoda,https://ikman.lk/en/ad/tvs-sport-110-2025-for-sale-colombo-232
Yamaha Ray ZR 125 2025,"Rs 250,470",Yamaha,Ray ZR,2025,125 cc,0 km,Scooters,Brand New,Ray ZR 125,Gampaha City,https://ikman.lk/en/ad/yamaha-ray-zr-125-2025-for-sale-gampaha-13
Yamaha RayZR 125 STREET RALLY 2025,"Rs 256,470",Yamaha,RayZR,2025,125 cc,0 km,Scooters,Brand New,125 STREET RALLY,Gampaha City,https://ikman.lk/en/ad/yamaha-rayzr-125-street-rally-2025-for-sale-gampaha
TVS Sport 110 2021,"Rs 185,000",TVS,Sport,2021,110 cc,0 km,Motorbikes,Brand New,Sport 110,Godagama,https://ikman.lk/en/ad/tvs-sport-110-2021-for-sale-colombo-5
Honda Grazia 2020,"Rs 200,000",Honda,Grazia,2020,125 cc,"29,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/honda-grazia-2020-for-sale-kurunegala-24
Bajaj Pulsar 135 2013,"Rs 320,000",Bajaj,Pulsar 135,2013,135 cc,"34,500 km",Motorbikes,Used,,Marawila,https://ikman.lk/en/ad/bajaj-pulsar-135-2013-for-sale-puttalam-96
Yamaha Alpha 2019,"Rs 430,000",Yamaha,Alpha,2019,110 cc,"26,888 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/yamaha-alpha-2019-for-sale-kurunegala-1
Honda Dio 2016,"Rs 480,000",Honda,Dio,2016,110 cc,"32,555 km",Motorbikes,Used,,Kurunegala City,https://ikman.lk/en/ad/honda-dio-2016-for-sale-kurunegala-2123
Bajaj Pulsar N160 Premium 2026,"Rs 377,350",Bajaj,Pulsar N160,2026,160 cc,0 km,Motorbikes,Brand New,Premium,Kegalle City,https://ikman.lk/en/ad/bajaj-pulsar-n160-premium-2026-for-sale-kegalle-80
Hero Passion Plus 2009,"Rs 199,000",Hero,Passion Plus,2009,99 cc,"85,000 km",Motorbikes,Used,,Batticaloa City,https://ikman.lk/en/ad/hero-passion-plus-2009-for-sale-batticaloa-17
Honda Activa 2015,"Rs 220,000",Honda,Activa,2015,110 cc,"56,623 km",Scooters,Used,Honda Activa,Colombo 9,https://ikman.lk/en/ad/honda-activa-2015-for-sale-colombo-280
Honda Dio 2018,"Rs 600,000",Honda,Dio,2018,110 cc,"38,000 km",Scooters,Used,2018,Wariyapola,https://ikman.lk/en/ad/honda-dio-2018-19-2018-for-sale-kurunegala
Hero Hunk 160R 2025,"Rs 900,000",Hero,Hunk 160R,2025,160 cc,620 km,Motorbikes,Used,Hero,Bandarawela,https://ikman.lk/en/ad/hero-hunk-160r-nothing-2025-for-sale-badulla
TVS Champ 2013,"Rs 60,000",TVS,Other Model,2013,48 cc,"10,000 km",Motorbikes,Used,TVS Champ,Maharagama,https://ikman.lk/en/ad/tvs-champ-2013-for-sale-colombo
TVS Metro 2014,"Rs 280,000",TVS,Metro,2014,100 cc,"63,500 km",Motorbikes,Used,TVS,Balangoda,https://ikman.lk/en/ad/tvs-metro-2014-for-sale-ratnapura-43
Bajaj V15 2013,"Rs 330,000",Bajaj,V15,2013,150 cc,"43,400 km",Motorbikes,Used,2013,Mannar City,https://ikman.lk/en/ad/hero-no-2013-for-sale-mannar
TVS Raider 125 2025,"Rs 262,000",TVS,Raider 125,2025,125 cc,0 km,Motorbikes,Brand New,2025,Hanwella,https://ikman.lk/en/ad/tvs-raider-125-2025-for-sale-colombo-3257
TVS Ntorq 2023,"Rs 650,000",TVS,Ntorq,2023,125 cc,"14,500 km",Scooters,Used,,Colombo 14,https://ikman.lk/en/ad/tvs-ntorq-2023-for-sale-colombo-752
Hero XOOM 125R 2026,"Rs 699,000",Hero,XOOM 125R,2026,125 cc,0 km,Motorbikes,Used,hero,Karapitiya,https://ikman.lk/en/ad/hero-xoom-125r-2026-for-sale-galle
Bajaj Platina 125 2010,"Rs 280,000",Bajaj,Platina,2010,125 cc,"103,000 km",Motorbikes,Used,125,Athurugiriya,https://ikman.lk/en/ad/bajaj-platina-125-2010-for-sale-colombo-475
Suzuki Burgman 125 2019,"Rs 665,000",Suzuki,Burgman 125,2019,125 cc,"46,000 km",Scooters,Used,125,Galle City,https://ikman.lk/en/ad/suzuki-burgman-125-2019-for-sale-galle-20
Hero Pleasure 2013,"Rs 298,000",Hero,Pleasure,2013,110 cc,"29,999 km",Scooters,Used,2013,Gampaha City,https://ikman.lk/en/ad/hero-pleasure-2013-for-sale-gampaha-1620
Yamaha FZ 2014,"Rs 575,000",Yamaha,FZ,2014,150 cc,"80,000 km",Motorbikes,Used,2014,Ruwanwella,https://ikman.lk/en/ad/yamaha-fz-16-2014-for-sale-kegalle-18
Yamaha FZs V2 2015,"Rs 700,000",Yamaha,FZs V2,2015,155 cc,"49,000 km",Motorbikes,Used,,Akurana,https://ikman.lk/en/ad/yamaha-fzs-v2-2015-for-sale-kandy-9
TVS Ntorq 125 2025,"Rs 800,000",TVS,Ntorq 125,2025,125 cc,"8,500 km",Scooters,Used,2025,Colombo 9,https://ikman.lk/en/ad/tvs-ntorq-125-race-edition-2025-for-sale-colombo-1913
Bajaj Pulsar N160 Premium 2025,"Rs 895,000",Bajaj,Pulsar N160,2025,160 cc,"1,300 km",Motorbikes,Used,Premium,Kalubowila,https://ikman.lk/en/ad/bajaj-pulsar-n160-ns-160-premium-2025-for-sale-colombo
Bajaj Pulsar 150 2006,"Rs 235,000",Bajaj,Pulsar 150,2006,150 cc,"100,500 km",Motorbikes,Used,Bajaj,Gampaha City,https://ikman.lk/en/ad/bajaj-pulsar-150-jz-2006-for-sale-gampaha
Honda Navi 2017,"Rs 385,000",Honda,Navi,2017,110 cc,"35,000 km",Scooters,Used,,Matara City,https://ikman.lk/en/ad/honda-navi-2019-for-sale-matara-249
TVS Star Sport 2007,"Rs 165,000",TVS,Star Sport,2007,100 cc,"27,000 km",Motorbikes,Used,,Padukka,https://ikman.lk/en/ad/tvs-star-sport-2007-for-sale-colombo-748
Honda PCX 150 2018,"Rs 1,375,000",Honda,PCX 150,2018,150 cc,"37,000 km",Scooters,Used,2018,Akurana,https://ikman.lk/en/ad/honda-pcx-150-2018-for-sale-kandy
Hero CBZ 2007,"Rs 260,000",Hero,CBZ,2007,160 cc,"46,000 km",Motorbikes,Used,Hero,Batticaloa City,https://ikman.lk/en/ad/hero-cbz-x-tream-2007-for-sale-batticaloa-1
Bajaj Pulsar 150 2016,"Rs 640,000",Bajaj,Pulsar 150,2016,150 cc,"74,000 km",Motorbikes,Used,2016,Sainthamaruthu,https://ikman.lk/en/ad/bajaj-pulsar-150-2016-for-sale-ampara-521
TVS Ntorq 2019,"Rs 565,000",TVS,Ntorq,2019,125 cc,"33,000 km",Motorbikes,Used,,Katunayake,https://ikman.lk/en/ad/tvs-ntorq-2019-for-sale-gampaha-1053
Hero Dawn 2010,"Rs 180,000",Hero,Dawn,2010,100 cc,"66,000 km",Motorbikes,Used,2010,Kinniya,https://ikman.lk/en/ad/hero-dawn-2010-for-sale-trincomalee-3
TVS Ntorq 2026,"Rs 55,700",TVS,Ntorq,2026,125 cc,0 km,Scooters,Brand New,Ntorq ,Moratuwa,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-241
